HomeTeam,AwayTeam,a°ª,HSC,ASC,HSIP,ASIP,HFC,AFC,HCC,ACC,HYC,AYC,HRC,ARC,FTR
West Brom,Crystal Palace,0.4,8.05,12.8,2.05,3.449,10.95,9.45,2.85,8.95,1.2,0.9,0,0.1,A
West Brom,Crystal Palace,0.3,7.475,13.1,1.725,3.525,10.89,9.525,2.2,9.275,1.15,0.925,0,0.075,A
West Brom,Crystal Palace,0.2,6.9,13.4,1.399,3.6,10.85,9.6,1.549,9.6,1.1,0.95,0,0.05,A
West Brom,Crystal Palace,0.2,6.9,13.4,1.399,3.6,10.85,9.6,1.549,9.6,1.1,0.95,0,0.05,A
Sheffield,Leicester,0.4,9.25,11.65,2.45,4,11.95,6.95,2.65,5.3,0.6,1.15,0,0,A
Sheffield,Leicester,0.3,8.38,11.175,1.9,3.75,11.9,7.025,2,5.22,0.58,1.17,0,0,A
Sheffield,Leicester,0.2,7.5,10.7,1.35,3.5,11.85,7.1,1.45,5.15,0.55,1.2,0,0,A
Tottenham,Arsenal ,0.4,9.6,11.95,5.05,5.05,15,13.2,5.199,4.65,1.35,2.85,0,0,H
Tottenham,Arsenal ,0.3,9.325,12.0249,4.975,5.225,15.125,13.9,5.275,4.55,1.325,3.07,0,0,H
Tottenham,Arsenal ,0.2,9.05,12.1,4.899,5.39,15.25,13.6,5.35,4.45,1.3,3.3,0,0,H
